"","ad_id","campaign_id","age","gender","interest","Impressions","Clicks","Spent","Total_Conversion","Approved_Conversion","CTR","CPC","CostPerConv_Total","CostPerConv_Approved","CPM"
"74",734660,936,47,0,18,1299,0,0,2,0,0,0,0,0,0
"75",734666,936,47,0,19,371,0,0,1,0,0,0,0,0,0
"76",734726,936,47,0,29,10466,3,4.090000033,1,0,0.0287,1.3633,4.09,4.090000033,0.39
"77",734737,936,47,0,31,839,0,0,1,0,0,0,0,0,0
"78",734785,936,32,1,10,5576,1,1.529999971,1,1,0.0179,1.53,1.53,1.53,0.27
"79",734794,936,32,1,16,4010,0,0,1,0,0,0,0,0,0
"80",734796,936,32,1,16,39337,7,10.03000009,1,1,0.0178,1.4329,10.03,10.03,0.25
"81",734800,936,32,1,18,1635,0,0,1,0,0,0,0,0,0
"82",734803,936,32,1,18,1631,0,0,1,0,0,0,0,0,0
"83",734852,936,32,1,26,13479,3,4.25,1,0,0.0223,1.4167,4.25,4.25,0.32
"84",734854,936,32,1,27,57022,13,20.29000032,3,3,0.0228,1.5608,6.7633,6.7633,0.36
"85",734856,936,32,1,27,5453,1,1.389999986,1,1,0.0183,1.39,1.39,1.39,0.25
"86",734866,936,32,1,29,11803,3,4.440000057,1,0,0.0254,1.48,4.44,4.440000057,0.38
"87",734881,936,32,1,31,4259,1,1.570000052,1,1,0.0235,1.57,1.57,1.57,0.37
"88",734901,936,32,1,64,1554,0,0,1,0,0,0,0,0,0
"89",734903,936,32,1,64,5323,1,1.289999962,1,1,0.0188,1.29,1.29,1.29,0.24
"90",734925,936,37,1,10,5024,1,1.409999967,1,1,0.0199,1.41,1.41,1.41,0.28
"91",734939,936,37,1,16,104648,24,33.33000004,4,2,0.0229,1.3888,8.3325,16.665,0.32
"92",734968,936,37,1,22,8504,3,3.340000093,1,1,0.0353,1.1133,3.34,3.34,0.39
"93",734999,936,37,1,27,20277,6,8.050000072,1,0,0.0296,1.3417,8.05,8.050000072,0.4
"94",735014,936,37,1,29,12403,4,5.210000038,1,1,0.0323,1.3025,5.21,5.21,0.42
"95",735032,936,37,1,32,498,0,0,1,1,0,0,0,0,0
"96",735033,936,37,1,36,652,0,0,0,0,0,0,0,0,0
"97",735043,936,37,1,63,1357,0,0,1,1,0,0,0,0,0
"98",735048,936,37,1,64,1393,0,0,1,0,0,0,0,0,0
"99",735065,936,42,1,7,648,0,0,1,0,0,0,0,0,0
"100",735109,936,42,1,21,708,0,0,1,1,0,0,0,0,0
"101",735140,936,42,1,26,6907,2,2.349999964,1,0,0.029,1.175,2.35,2.349999964,0.34
"102",735143,936,42,1,27,39035,13,19.32999957,1,0,0.0333,1.4869,19.33,19.32999957,0.5
"103",735151,936,42,1,28,926,0,0,1,0,0,0,0,0,0
"104",735184,936,42,1,63,4412,1,1.450000048,1,0,0.0227,1.45,1.45,1.450000048,0.33
"105",735189,936,42,1,64,9965,3,4.050000072,1,0,0.0301,1.35,4.05,4.050000072,0.41
"106",735213,936,47,1,10,73634,23,32.97999978,1,0,0.0312,1.4339,32.98,32.97999978,0.45
"107",735220,936,47,1,15,69708,20,31.28999949,1,0,0.0287,1.5645,31.29,31.28999949,0.45
"108",735242,936,47,1,19,530,0,0,1,0,0,0,0,0,0
"109",735247,936,47,1,20,14257,6,8.789999962,1,0,0.0421,1.465,8.79,8.789999962,0.62
"110",735289,936,47,1,27,20362,5,9.119999886,1,1,0.0246,1.824,9.12,9.12,0.45
"111",735290,936,47,1,27,12215,4,6.26000011,1,0,0.0327,1.565,6.26,6.26000011,0.51
"112",735298,936,47,1,29,85412,28,38.63999999,2,1,0.0328,1.38,19.32,38.64,0.45
"113",736869,936,32,0,2,2338,1,0.239999995,1,0,0.0428,0.24,0.24,0.239999995,0.1
"114",736890,936,32,0,15,2522,0,0,1,0,0,0,0,0,0
"115",736893,936,32,0,16,3587,0,0,1,0,0,0,0,0,0
"116",736977,936,32,0,27,1273,0,0,1,0,0,0,0,0,0
"117",736988,936,32,0,28,3891,1,1.090000033,1,0,0.0257,1.09,1.09,1.090000033,0.28
"118",736995,936,32,0,29,1888,0,0,1,0,0,0,0,0,0
"119",736997,936,32,0,29,1895,0,0,1,0,0,0,0,0,0
"120",737097,936,37,0,7,715,0,0,1,0,0,0,0,0,0
"121",737130,936,37,0,16,11199,2,2.680000067,1,0,0.0179,1.34,2.68,2.680000067,0.24
"122",737320,936,37,0,63,5676,2,3.00999999,1,0,0.0352,1.505,3.01,3.00999999,0.53
"123",737375,936,42,0,10,1415,0,0,1,0,0,0,0,0,0
"124",737524,936,42,0,30,2148,1,1.580000043,1,1,0.0466,1.58,1.58,1.58,0.74
"125",737644,936,47,0,16,45401,10,14.06000042,1,0,0.022,1.406,14.06,14.06000042,0.31
"126",737657,936,47,0,18,7478,2,2.900000095,1,1,0.0267,1.45,2.9,2.9,0.39
"127",737658,936,47,0,18,4919,1,1.590000033,1,0,0.0203,1.59,1.59,1.590000033,0.32
"128",737674,936,47,0,20,533,0,0,1,1,0,0,0,0,0
"129",737766,936,47,0,29,1447,0,0,1,1,0,0,0,0,0
"130",737896,936,32,1,16,17553,3,4.590000153,1,0,0.0171,1.53,4.59,4.590000153,0.26
"131",737931,936,32,1,20,3343,1,0.540000021,1,0,0.0299,0.54,0.54,0.540000021,0.16
"132",737961,936,32,1,23,523,0,0,1,0,0,0,0,0,0
"133",737995,936,32,1,26,1873,0,0,1,0,0,0,0,0,0
"134",738006,936,32,1,27,34740,7,13.41000009,1,1,0.0201,1.9157,13.41,13.41,0.39
"135",738067,936,32,1,32,658,0,0,1,0,0,0,0,0,0
"136",738098,936,32,1,64,1539,0,0,1,0,0,0,0,0,0
"137",738307,936,37,1,31,3010,1,0.860000014,1,1,0.0332,0.86,0.86,0.86,0.29
"138",738389,936,42,1,10,27081,9,10.77000046,1,1,0.0332,1.1967,10.77,10.77,0.4
"139",738408,936,42,1,16,20233,4,5.590000153,3,0,0.0198,1.3975,1.8633,5.590000153,0.28
"140",738413,936,42,1,16,147159,36,58.16000044,3,1,0.0245,1.6156,19.3867,58.16,0.4
"141",738423,936,42,1,18,21664,7,10.61999977,1,1,0.0323,1.5171,10.62,10.62,0.49
"142",738436,936,42,1,19,9112,4,5.460000038,1,1,0.0439,1.365,5.46,5.46,0.6
"143",738463,936,42,1,21,542,0,0,1,0,0,0,0,0,0
"144",738528,936,42,1,30,402,0,0,1,1,0,0,0,0,0
"145",738560,936,42,1,64,1338,0,0,1,0,0,0,0,0,0
"146",738582,936,47,1,10,46150,15,20.17999983,1,1,0.0325,1.3453,20.18,20.18,0.44
"147",738592,936,47,1,16,493821,116,176.3799977,4,1,0.0235,1.5205,44.095,176.38,0.36
"148",738593,936,47,1,16,92011,27,34.39000046,2,1,0.0293,1.2737,17.195,34.39,0.37
"149",738598,936,47,1,18,12956,4,5.49000001,1,1,0.0309,1.3725,5.49,5.49,0.42
"150",738606,936,47,1,19,529,0,0,1,0,0,0,0,0,0
"151",738637,936,47,1,24,944,1,1.419999957,1,0,0.1059,1.42,1.42,1.419999957,1.5
"152",738648,936,47,1,26,111090,38,51.97000027,5,1,0.0342,1.3676,10.394,51.97,0.47
"153",747212,936,32,0,10,7208,2,3.190000057,1,0,0.0277,1.595,3.19,3.190000057,0.44
"154",747213,936,32,0,10,1746,0,0,1,0,0,0,0,0,0
"155",747220,936,32,0,15,2474,0,0,2,2,0,0,0,0,0
"156",747222,936,32,0,16,12489,2,1.960000038,1,0,0.016,0.98,1.96,1.960000038,0.16
"157",747223,936,32,0,16,8032,1,0.600000024,2,0,0.0125,0.6,0.3,0.600000024,0.07
"158",747248,936,32,0,21,472,0,0,1,1,0,0,0,0,0
"159",747332,936,32,0,64,792,0,0,1,1,0,0,0,0,0
"160",747362,936,37,0,15,4607,1,1.149999976,1,1,0.0217,1.15,1.15,1.15,0.25
"161",747369,936,37,0,16,13355,2,3.180000067,1,1,0.015,1.59,3.18,3.18,0.24
"162",747370,936,37,0,16,2936,0,0,1,0,0,0,0,0,0
"163",747401,936,37,0,22,2793,1,0.980000019,1,1,0.0358,0.98,0.98,0.98,0.35
"164",747435,936,37,0,28,1032,0,0,1,0,0,0,0,0,0
"165",747439,936,37,0,29,1662,0,0,1,1,0,0,0,0,0
"166",747489,936,42,0,2,4016,2,1.480000049,1,1,0.0498,0.74,1.48,1.48,0.37
"167",747514,936,42,0,16,14843,3,2.939999938,1,1,0.0202,0.98,2.94,2.94,0.2
"168",747645,936,47,0,10,9674,3,4.600000024,1,1,0.031,1.5333,4.6,4.6,0.48
"169",747659,936,47,0,16,12186,2,2.669999957,1,0,0.0164,1.335,2.67,2.669999957,0.22
"170",747675,936,47,0,20,673,0,0,1,0,0,0,0,0,0
"171",747678,936,47,0,21,370,0,0,1,1,0,0,0,0,0
"172",747712,936,47,0,26,450,0,0,1,1,0,0,0,0,0
"173",747790,936,32,1,10,2077,0,0,1,1,0,0,0,0,0
"174",747791,936,32,1,10,31393,8,10.96000051,1,1,0.0255,1.37,10.96,10.96,0.35
"175",747795,936,32,1,15,8410,2,2.359999895,1,1,0.0238,1.18,2.36,2.36,0.28
"176",747798,936,32,1,16,25884,5,7.350000143,1,0,0.0193,1.47,7.35,7.350000143,0.28
"177",747824,936,32,1,21,608,0,0,1,1,0,0,0,0,0
"178",747828,936,32,1,22,28488,10,9.340000033,1,0,0.0351,0.934,9.34,9.340000033,0.33
"179",747852,936,32,1,26,10126,3,4.619999886,1,0,0.0296,1.54,4.62,4.619999886,0.46
"180",747859,936,32,1,27,22572,5,8.5,1,0,0.0222,1.7,8.5,8.5,0.38
"181",747863,936,32,1,27,1955,0,0,1,1,0,0,0,0,0
"182",747879,936,32,1,30,493,0,0,1,0,0,0,0,0,0
"183",747903,936,32,1,63,1491,0,0,1,1,0,0,0,0,0
"184",747911,936,32,1,64,1495,0,0,1,1,0,0,0,0,0
"185",747968,936,37,1,21,512,0,0,0,0,0,0,0,0,0
"186",747991,936,37,1,25,4868,2,2.420000076,1,0,0.0411,1.21,2.42,2.420000076,0.5
"187",748000,936,37,1,26,6585,2,2.950000048,1,0,0.0304,1.475,2.95,2.950000048,0.45
"188",748007,936,37,1,27,10164,2,3.720000029,1,1,0.0197,1.86,3.72,3.72,0.37
"189",748014,936,37,1,29,11182,4,4.449999809,1,0,0.0358,1.1125,4.45,4.449999809,0.4
"190",748045,936,37,1,63,1238,0,0,1,0,0,0,0,0,0
"191",748086,936,42,1,16,34127,8,13.07000017,1,0,0.0234,1.6338,13.07,13.07000017,0.38
"192",748087,936,42,1,16,29466,7,10.84999967,2,0,0.0238,1.55,5.425,10.84999967,0.37
"193",748089,936,42,1,16,38759,9,10.84999967,1,0,0.0232,1.2056,10.85,10.84999967,0.28
"194",748091,936,42,1,16,41720,10,12.06000006,1,1,0.024,1.206,12.06,12.06,0.29
"195",748225,936,47,1,15,18602,5,8.860000134,1,0,0.0269,1.772,8.86,8.860000134,0.48
"196",748230,936,47,1,16,83929,21,27.72999954,4,1,0.025,1.3205,6.9325,27.73,0.33
"197",748231,936,47,1,16,25194,6,7.349999905,1,0,0.0238,1.225,7.35,7.349999905,0.29
"198",748233,936,47,1,16,78627,19,26.53000045,1,0,0.0242,1.3963,26.53,26.53000045,0.34
"199",748235,936,47,1,16,102695,25,39.42999983,3,0,0.0243,1.5772,13.1433,39.42999983,0.38
"200",748294,936,47,1,27,82827,24,47.93000031,3,0,0.029,1.9971,15.9767,47.93000031,0.58
"201",748295,936,47,1,27,9240,3,6.039999962,1,0,0.0325,2.0133,6.04,6.039999962,0.65
"202",748303,936,47,1,29,7706,2,2.369999886,1,0,0.026,1.185,2.37,2.369999886,0.31
"203",748314,936,47,1,31,7821,4,6.340000153,1,1,0.0511,1.585,6.34,6.34,0.81
"204",748341,936,47,1,64,1363,0,0,1,1,0,0,0,0,0
"205",776318,936,47,1,15,3569,0,0,1,1,0,0,0,0,0
"206",776322,936,47,1,16,119063,34,53.21999949,1,0,0.0286,1.5653,53.22,53.21999949,0.45
"207",776323,936,47,1,16,99078,23,35.79999948,2,0,0.0232,1.5565,17.9,35.79999948,0.36
"208",776325,936,47,1,16,452398,114,180.2200012,1,0,0.0252,1.5809,180.22,180.2200012,0.4
"209",776334,936,47,1,10,191223,48,76.41000056,1,0,0.0251,1.5919,76.41,76.41000056,0.4
"210",776336,936,47,1,10,22216,6,9.549999952,1,0,0.027,1.5917,9.55,9.549999952,0.43
"211",776338,936,47,1,10,48291,11,18.01999998,1,0,0.0228,1.6382,18.02,18.01999998,0.37
"212",776353,936,42,1,63,27559,8,13.37,1,0,0.029,1.6712,13.37,13.37,0.49
"213",776373,936,47,1,25,10194,4,4.590000033,2,1,0.0392,1.1475,2.295,4.59,0.45
"214",776383,936,47,1,23,1168,0,0,1,1,0,0,0,0,0
"215",776405,936,47,1,21,40126,16,25.86000001,1,0,0.0399,1.6163,25.86,25.86000001,0.64
"216",776416,936,47,1,19,3659,1,0.49000001,1,1,0.0273,0.49,0.49,0.49,0.13
"217",776430,936,32,0,10,3200,0,0,1,0,0,0,0,0,0
"218",776464,936,47,1,29,7550,1,1.679999948,1,1,0.0132,1.68,1.68,1.68,0.22
"219",776469,936,47,1,28,45397,15,25.41999936,1,1,0.033,1.6947,25.42,25.42,0.56
"220",776473,936,32,0,16,23086,2,3.310000062,1,1,0.0087,1.655,3.31,3.31,0.14
"221",776475,936,32,0,16,16425,1,1.549999952,1,0,0.0061,1.55,1.55,1.549999952,0.09
"222",776476,936,32,0,16,43756,5,5.439999938,0,0,0.0114,1.088,5.439999938,5.439999938,0.12
"223",776477,936,32,0,16,9982,0,0,1,0,0,0,0,0,0
"224",776489,936,47,1,26,175389,55,81.60999787,1,0,0.0314,1.4838,81.61,81.60999787,0.47
"225",776494,936,32,0,15,7015,0,0,1,0,0,0,0,0,0
"226",776515,936,47,1,65,12706,3,4.98999989,1,1,0.0236,1.6633,4.99,4.99,0.39
"227",776519,936,47,1,65,70702,20,31.7099998,1,0,0.0283,1.5855,31.71,31.7099998,0.45
"228",776533,936,47,1,63,63927,16,25.52000046,2,0,0.025,1.595,12.76,25.52000046,0.4
"229",776534,936,47,1,63,15105,3,4.25999999,1,0,0.0199,1.42,4.26,4.25999999,0.28
"230",776538,936,32,1,15,8774,1,1.830000043,1,0,0.0114,1.83,1.83,1.830000043,0.21
"231",776551,936,32,1,16,14459,1,1.389999986,1,0,0.0069,1.39,1.39,1.389999986,0.1
"232",776552,936,32,1,16,21596,2,2.809999943,1,0,0.0093,1.405,2.81,2.809999943,0.13
"233",776553,936,32,1,16,66765,8,11.04999971,1,0,0.012,1.3812,11.05,11.04999971,0.17
"234",776563,936,32,1,7,1369,0,0,1,1,0,0,0,0,0
"235",776579,936,32,1,10,26910,5,7.229999781,1,0,0.0186,1.446,7.23,7.229999781,0.27
"236",776603,936,32,1,2,506,0,0,1,0,0,0,0,0,0
"237",776615,936,47,0,63,11988,3,4.269999862,1,0,0.025,1.4233,4.27,4.269999862,0.36
"238",776623,936,47,0,64,19353,6,9.4799999,1,1,0.031,1.58,9.48,9.48,0.49
"239",776631,936,42,0,29,10960,2,2.890000105,1,0,0.0182,1.445,2.89,2.890000105,0.26
"240",776643,936,32,0,15,33491,6,10.56999969,2,1,0.0179,1.7617,5.285,10.57,0.32
"241",776644,936,32,0,15,20083,2,3.200000048,2,1,0.01,1.6,1.6,3.2,0.16
"242",776659,936,32,0,16,8817,0,0,1,1,0,0,0,0,0
"243",776661,936,32,0,16,15466,1,0.970000029,1,0,0.0065,0.97,0.97,0.970000029,0.06
"244",776662,936,32,0,16,27072,3,4.370000005,1,0,0.0111,1.4567,4.37,4.370000005,0.16
"245",776663,936,32,0,16,15753,1,0.569999993,1,1,0.0063,0.57,0.57,0.57,0.04
"246",776668,936,42,0,19,3523,1,1.809999943,1,1,0.0284,1.81,1.81,1.81,0.51
"247",776685,936,42,0,16,7745,0,0,1,0,0,0,0,0,0
"248",776686,936,42,0,16,18709,2,3.319999933,1,0,0.0107,1.66,3.32,3.319999933,0.18
"249",776687,936,42,0,16,8022,0,0,2,1,0,0,0,0,0
"250",776696,936,32,0,10,7966,1,1.179999948,1,1,0.0126,1.18,1.18,1.18,0.15
"251",776697,936,32,0,10,4132,0,0,1,1,0,0,0,0,0
"252",776698,936,32,0,10,12785,3,4.730000019,2,1,0.0235,1.5767,2.365,4.73,0.37
"253",776699,936,32,0,10,8213,1,1.379999995,1,1,0.0122,1.38,1.38,1.38,0.17
"254",776722,936,32,0,2,545,0,0,1,1,0,0,0,0,0
"255",776725,936,42,0,23,2479,1,1.25999999,1,0,0.0403,1.26,1.26,1.25999999,0.51
"256",776780,936,42,0,2,3812,2,3.049999952,1,0,0.0525,1.525,3.05,3.049999952,0.8
"257",776793,936,47,0,21,1609,0,0,1,0,0,0,0,0,0
"258",776799,936,47,0,20,10257,3,3.579999924,1,1,0.0292,1.1933,3.58,3.58,0.35
"259",776817,936,42,0,10,12356,4,6.279999971,1,0,0.0324,1.57,6.28,6.279999971,0.51
"260",776825,936,47,0,18,7410,1,1.210000038,1,0,0.0135,1.21,1.21,1.210000038,0.16
"261",776829,936,47,0,16,140098,28,46.63000011,1,0,0.02,1.6654,46.63,46.63000011,0.33
"262",776831,936,47,0,16,107021,20,34.44000012,1,0,0.0187,1.722,34.44,34.44000012,0.32
"263",776840,936,37,0,36,2797,1,1.289999962,1,0,0.0358,1.29,1.29,1.289999962,0.46
"264",776861,936,47,0,7,16461,6,9.21999979,1,0,0.0364,1.5367,9.22,9.21999979,0.56
"265",776892,936,42,0,63,17488,5,7.719999909,1,0,0.0286,1.544,7.72,7.719999909,0.44
"266",776928,936,37,0,10,9750,2,1.5,1,1,0.0205,0.75,1.5,1.5,0.15
"267",776935,936,47,0,36,1136,0,0,1,1,0,0,0,0,0
"268",777105,936,47,0,63,4333,1,0.180000007,1,1,0.0231,0.18,0.18,0.18,0.04
"269",777130,936,37,0,16,6260,0,0,1,0,0,0,0,0,0
"270",777131,936,37,0,16,6359,0,0,1,0,0,0,0,0,0
"271",777166,936,32,0,63,2383,0,0,1,1,0,0,0,0,0
"272",777187,936,42,0,27,11292,3,5.389999866,1,1,0.0266,1.7967,5.39,5.39,0.48
"273",777198,936,32,0,64,12729,4,5.779999852,1,0,0.0314,1.445,5.78,5.779999852,0.45
"274",777200,936,32,0,64,1898,0,0,1,1,0,0,0,0,0
"275",777201,936,32,0,64,1882,0,0,1,1,0,0,0,0,0
"276",777235,936,32,0,65,2883,1,0.99000001,1,1,0.0347,0.99,0.99,0.99,0.34
"277",777248,936,32,1,7,3989,1,1.279999971,1,0,0.0251,1.28,1.28,1.279999971,0.32
"278",777261,936,42,0,29,19603,4,5.279999971,1,1,0.0204,1.32,5.28,5.28,0.27
"279",777382,936,42,0,24,3047,1,1.379999995,1,0,0.0328,1.38,1.38,1.379999995,0.45
"280",777398,936,37,0,24,3029,1,1.049999952,1,1,0.033,1.05,1.05,1.05,0.35
"281",777410,936,47,0,26,3490,1,1.340000033,1,1,0.0287,1.34,1.34,1.34,0.38
"282",777482,936,47,0,28,2479,0,0,1,0,0,0,0,0,0
"283",777495,936,42,0,19,19581,7,10.42999983,2,0,0.0357,1.49,5.215,10.42999983,0.53
"284",777519,936,47,0,29,19537,5,6.099999905,1,0,0.0256,1.22,6.1,6.099999905,0.31
"285",777625,936,47,0,16,59433,12,19.65999949,3,0,0.0202,1.6383,6.5533,19.65999949,0.33
"286",777627,936,47,0,16,157534,33,56.19000077,2,0,0.0209,1.7027,28.095,56.19000077,0.36
"287",777638,936,42,0,7,1781,0,0,1,1,0,0,0,0,0
"288",777670,936,42,0,16,23769,4,6.029999852,1,0,0.0168,1.5075,6.03,6.029999852,0.25
"289",777673,936,42,0,16,7101,0,0,1,0,0,0,0,0,0
"290",777742,936,37,0,64,4726,1,1.830000043,1,1,0.0212,1.83,1.83,1.83,0.39
"291",777758,936,32,0,19,5209,1,0.959999979,2,0,0.0192,0.96,0.48,0.959999979,0.18
"292",777794,936,32,0,18,13473,3,2.619999945,3,0,0.0223,0.8733,0.8733,2.619999945,0.19
"293",777816,936,42,0,2,500,0,0,1,1,0,0,0,0,0
"294",777871,936,32,0,20,4616,1,1.360000014,1,0,0.0217,1.36,1.36,1.360000014,0.29
"295",777904,936,32,0,31,3279,0,0,1,0,0,0,0,0,0
"296",777905,936,32,0,31,3288,0,0,1,0,0,0,0,0,0
"297",778037,936,37,0,27,14615,4,6.050000191,1,0,0.0274,1.5125,6.05,6.050000191,0.41
"298",778048,936,32,0,27,56615,12,19.88000035,2,0,0.0212,1.6567,9.94,19.88000035,0.35
"299",778085,936,32,0,26,11735,3,4.529999971,1,1,0.0256,1.51,4.53,4.53,0.39
"300",778087,936,32,0,26,15910,5,6.779999852,1,0,0.0314,1.356,6.78,6.779999852,0.43
"301",778112,936,37,0,29,11446,2,3.090000033,1,1,0.0175,1.545,3.09,3.09,0.27
"302",778113,936,37,0,29,4595,0,0,1,0,0,0,0,0,0
"303",778124,936,32,0,29,4871,0,0,1,0,0,0,0,0,0
"304",778148,936,37,0,28,3199,0,0,1,0,0,0,0,0,0
