Education,Experience,Salary
UG,12,64.35289193
UG,9,52.33182055
UG,8,40.52536179
UG,38,140.2455088
UG,7,54.2529207
UG,26,108.7810816
UG,36,116.991772
UG,39,155.4450732
UG,2,46.21616361
UG,36,137.8822872
UG,21,78.98357846
GRAD,3,46.16713833
GRAD,3,57.14614174
GRAD,18,111.6193073
GRAD,26,137.6328337
GRAD,7,56.77768017
GRAD,17,95.26479007
GRAD,24,120.0672007
GRAD,35,154.9553283
GRAD,6,65.6162689
GRAD,40,188.716983
GRAD,20,114.4824143
GRAD,3,31.67975915
GRAD,23,118.3026956
GRAD,32,160.3594257
GRAD,7,81.55979469
GRAD,34,177.8258335
GRAD,29,152.1268893
GRAD,4,44.57734109
GRAD,11,85.11538046
GRAD,33,163.1242778
GRAD,15,101.3005153
GRAD,19,89.7484022
GRAD,36,175.9044704
GRAD,3,31.22939908
GRAD,12,75.81634804
GRAD,22,134.5859653
GRAD,29,162.3041792
GRAD,35,167.3588409
GRAD,10,63.55552398
GRAD,16,103.6470255
GRAD,2,27.95610955
GRAD,4,38.5388186
GRAD,1,8.677659039
GRAD,11,86.79136567
GRAD,29,148.1500381
GRAD,37,188.2558706
GRAD,8,66.86046386
GRAD,16,83.03411354
GRAD,35,180.4049821
GRAD,3,44.20341376
GRAD,27,144.8674817
GRAD,38,192.2303854
GRAD,29,143.0539301
GRAD,38,176.9426692
GRAD,9,73.16797361
GRAD,18,112.365719
GRAD,24,116.9699485
GRAD,22,137.0461891
GRAD,11,84.86529782
GRAD,9,77.93475164
GRAD,7,46.25423779
GRAD,16,99.15238006
GRAD,39,194.6131388
GRAD,7,62.48383375
GRAD,4,35.28570784
GRAD,40,193.9219127
GRAD,35,179.8762919
GRAD,13,71.41799652
GRAD,40,199.2707284
GRAD,36,173.1907826
GRAD,17,106.7869484
GRAD,20,94.49376409
GRAD,14,99.80652183
GRAD,3,30.19385937
GRAD,6,81.08510421
GRAD,37,204.3482597
GRAD,32,175.2656923
GRAD,37,194.5697403
GRAD,3,42.19906109
GRAD,8,65.86333154
GRAD,22,126.2788712
GRAD,12,88.26498599
GRAD,32,153.2128361
GRAD,15,98.17247123
GRAD,39,211.0575773
GRAD,22,102.0833008
GRAD,10,43.47653301
GRAD,30,150.8943712
GRAD,12,88.04900933
GRAD,1,28.71501863
GRAD,2,39.75432479
GRAD,37,194.4759888
GRAD,38,200.5983072
GRAD,4,34.59492049
GRAD,30,155.0241531
GRAD,33,177.6382551
GRAD,20,112.7597212
GRAD,29,162.977736
GRAD,39,177.8161586
GRAD,33,172.4973287
GRAD,5,38.44404287
GRAD,38,196.1734178
GRAD,24,122.7877675
GRAD,26,138.4231985
GRAD,27,127.959432
GRAD,36,176.244169
GRAD,12,65.06448175
GRAD,24,129.8336542
GRAD,29,164.4642977
